🌙月光宝盒,#genre#
为防失联,rtmp://f13h.mine.nu/sat/tv111
公众号,rtmp://f13h.mine.nu/sat/tv091
宝盒没宝,rtmp://f13h.mine.nu/sat/tv111
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
中視,rtmp://f13h.mine.nu/sat/tv091
台視,rtmp://f13h.mine.nu/sat/tv071
民視,rtmp://f13h.mine.nu/sat/tv051
緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
ELEVEN体育3,rtmp://f13h.mine.nu/sat/tv751
星光视界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
客家电视台,http://37.27.111.214:8080/live/1/hls.m3u8  
原住民电视台,http://37.27.111.214:8080/live/2/hls.m3u8  
momo综合台,http://37.27.111.214:8080/live/3/hls.m3u8  
民视第一台,http://37.27.111.214:8080/live/4/hls.m3u8  
民视台湾台,http://37.27.111.214:8080/live/5/hls.m3u8  
民视,http://37.27.111.214:8080/live/6/hls.m3u8 
中视,http://37.27.111.214:8080/live/7/hls.m3u8 
华视,http://37.27.111.214:8080/live/8/hls.m3u8 
TV5MONDE,http://37.27.111.214:8080/live/9/hls.m3u8  
亚洲旅游台,http://37.27.111.214:8080/live/10/hls.m3u8  
探案电影,http://37.27.111.214:8080/live/11/hls.m3u8 
NICKELODEON,http://37.27.111.214:8080/live/12/hls.m3u8  
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8  
博斯运动1,http://37.27.111.214:8080/live/14/hls.m3u8  
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8  
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8  
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8  
NICKJR,http://37.27.111.214:8080/live/22/hls.m3u8  
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8  
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8  
MTV,http://37.27.111.214:8080/live/25/hls.m3u8  
居家,http://37.27.111.214:8080/live/26/hls.m3u8  
历史频道,http://37.27.111.214:8080/live/27/hls.m3u8  
HITS,http://37.27.111.214:8080/live/28/hls.m3u8  
犯罪调查,http://37.27.111.214:8080/live/29/hls.m3u8  
电影世界,http://37.27.111.214:8080/live/30/hls.m3u8  
三立综合,http://37.27.111.214:8080/live/31/hls.m3u8 
bloomberg,http://37.27.111.214:8080/live/34/hls.m3u8 
猪哥会社,http://37.27.111.214:8080/live/35/hls.m3u8 
DW,http://37.27.111.214:8080/live/46/hls.m3u8 
互动英语,http://37.27.111.214:8080/live/54/hls.m3u8 
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
探索,http://61.221.215.25:8800/hls/1/index.m3u8
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
动漫,http://61.221.215.25:8800/hls/40/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物世界,http://61.221.215.25:8800/hls/57/index.m3u8
湖南爱晚,http://222.241.154.37:9901/tsfile/live/23022_1.m3u8
湖南电视剧,http://222.241.154.37:9901/tsfile/live/23026_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南国际,http://222.241.154.37:9901/tsfile/live/23024_1.m3u8
湖南经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南教育,http://222.241.154.37:9901/tsfile/live/23027_1.m3u8


🌈宝盒没宝,#genre#
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台, http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
